word,interpretation
признатися,сказати правду про себе
відкритися,Розповісти про себе щиро й відверто
зім'ятий,
пом'ятий,
м'ятий,
побганий,
зжмаканий,
зіжмаканий,
пожмаканий,
зажмаканий,
пожмакований,
зіниця,
чоловічок,
зіпсований,
пошкоджений,
ушкоджений,
зопсований,
зіпсутий,
зопсутий,
порчений,
дефектний,
бракований,
ганджовитий,"(який має дефект, ваду)"
несправний,
поламаний,
зламаний,(який поламався)
зіпсувати,"Зробити непридатним для користування, вживання, попсувати, поламати і т. ін"
зопсувати,"Зробити непридатним для користування, вживання, попсувати, поламати і т. ін"
пошкодити,"Вивести що-небудь з ладу; зіпсувати,зруйнувати"
ушкодити,"зробити непридатним для користування, вживання; зіпсувати, зламати і т. ін"
знівечити,"Поламати або зіпсувати що-небудь, зробити непридатним для використання, вжитку"
понівечити,"Б'ючи, ламаючи, зіпсувати, зруйнувати що-небудь"
поламати,"Ламаючи, зробити непридатним для використання; зіпсувати, пошкодити"
зламати,"Зробити непридатним для використання, зіпсувати ударами, поштовхами і т. ін"
зломити,
спотворити,"Зробити непридатним для вжитку, використання;зіпсувати, знівечити"
перевести,Змінити на гірше або зовсім зіпсувати
скалічити,Завдати шкоди чому-небудь
збавити,"Пошкоджувати, псувати що-небудь"
понехтувати,
пошпетити,
скапостити,
скапустити,
спаскудити,
спартачити,
спартолити,
зіпсувати,
зопсувати,
спотворити,
знівечити,
понівечити,
псувати,"Робити непридатним для користування, вживання, споживання і т. ін; пошкоджувати"
спотворювати,"Робити непридатним для вжитку, використання; псувати, нівечити"
нівечити,"Псувати, руйнувати, знищувати що-небудь"
зірка,
зоря,
зоряниця,
зірниця,
звізда,
зіркий,
гострозорий,
гостроокий,
бистроокий,
зіркатий,
окатий,
окастий,
видючий,
видющий,
зіскакувати,
зскакувати,(стрибком спускатися вниз)
зістрибувати,
зстрибувати,
сплигувати,
зіскочити,
зскочити,
зістрибнути,
зстрибнути,
сплигнути,
зіткати,
виткати,
уткати,
вткати,
заткати,
зітхання,
подих,
віддих,
з'їзд,
конгрес,
зліт,
форум,
злежаний,
злежалий,
залежаний,
злеглий,
злигодні,
знегоди,
негода,
незгода,
випробування,
бідування,
хуртовина,
незгодина,
невзгодина,
лихоліття,"(часи тяжкого лиха, бідування народу)"
злий,
недобрий,
поганий,
лихий,
злісний,
злобний,
озлоблений,
злобливий,
злостивий,
злосливий,
жовчний,
лютий,
злючий,
злющий,
собакуватий,
злісливий,
злобивий,
заїлий,
злиття,
сутеча,
злість,
злоба,
озлобленість,
жовч,
лють,
розлюченість,
лютощі,
шал,
шаленство,
шальга,
завзяток,
заїлість,
ярість,
яр,
злітати,
злинати,
зніматися,
здійматися,
підніматися,
підійматися,
підноситися,
зринати,
шугати,(стрімко)
зриватися,
пориватися,(раптово і швидко)
спурхувати,"(перев. про птахів, метеликів і т. ін. - легко і швидко)"
злетіти,
злинути,
знятися,
здійнятися,
піднятися,
підійнятися,
піднестися,
зринути,
шугнути,
шугонути,
зірватися,
порватися,
спурхнути,
зло,
лихо,
зловживати,
надуживати,
зловжити,
зловісний,
недобрий,
лихий,
лиховісний,
зловіщий,
злоповісний,
зловорожий,
злодій,
крадій,
шахрай,
ракло,
розкрадач,
торбохват,(перев. щодо розкрадання громадської власності)
зломщик,"(той, хто здійснює крадіж зі зломом)"
злодійкуватий,
хапкий,
хваткий,
змарніти,"Схуднути, виснажитися від горя, туги, хвороби, недоїдання, важкої праці і т. ін"
помарніти,"Схуднути, побліднути внаслідок хвороби, недоїдання, важкої праці і т. ін"
осунутися,"Стати худим, виснаженим, занедбаним"
податися,"Худнути, марніти, занепадати здоров'ям"
зів'янути,"Утратити молодість, красу; змарніти (про людину)"
зів'яти,"Утратити молодість, красу; змарніти (про людину)"
пов'янути,"Поступово втратити фізичну силу; змарніти, ослабнути"
зблякнути,"Втратити свіжість, змарніти"
прив'янути,"Поступово втрачати силу, рухливість, бадьорість; ставати млявим, байдужим"
злиняти,"Утратити жвавість, бадьорість; змарніти"
полиняти,"Втратити свіжість; збліднути, змарніти"
почорніти,"Змінитися на обличчі, змарніти від горя, недуги і т. ін"
споганіти,"Ослабнути фізично; змарніти, податися"
заснидіти,Змарніти
марніти,
осуватися,
подаватися,
в'янути,
блякнути,
прив'ядати,
линяти,
поганіти,
зменшувати,
уменшати,
вменшати,
уменшувати,
вменшувати,
зменшати,
уймати,
умаляти,
умалювати,
переполовинювати,(наполовину або на велику частину)
знижувати,
понижувати,
понижати,
збавляти,
знижати,
спускати,"(перев. ціну, плату і т. ін.)"
укорочувати,
вкорочувати,
урізувати,
врізувати,
обрізувати,
обрізати,
обтинати,
притинати,"(розмір, обсяг, розмах)"
скорочувати,"(витрати, норми і т. ін.)"
зменшити,
уменшити,
вменшити,
убавити,
вбавити,
уйняти,
умалити,
переполовинити,
знизити,
понизити,
збавити,
спустити,
укоротити,
вкоротити,
урізати,
врізати,
обрізати,
обтяти,
притяти,
скоротити,
змивати,
розмивати,
змити,
розмити,
зміна,
переміна,
відміна,
пертурбація,(різка або несподівана зміна)
переворот,
поворот,
злам,
перелом,
оборот,
поворіт,"(різка, докорінна зміна)"
переінакшення,
переіначення,(шляхом переробки тощо)
змінювати,
зміняти,
міняти,
мінити,
переміняти,
перемінювати,
відміняти,
відмінювати,
перевертати,
перероджувати,
перешиковувати,
переінакшувати,
переіначувати,
преображати,"(різко, суттєво, шляхом переробки тощо)"
змінити,
перемінити,
відмінити,
перевернути,
переродити,
перешикувати,
переінакшити,
переіначити,
змінюватися,
змінятися,
мінятися,
мінитися,
перемінятися,
перемінюватися,
відмінятися,
відмінюватися,
перевертатися,
перероджуватися,
перешиковуватися,
переінакшуватися,
переіначуватися,
преображатися,"(суттєво, докорінно, до невпізнання)"
переростати,(поступово)
змінитися,
перемінитися,
відмінитися,
перевернутися,
переродитися,
перешикуватися,
поіншати,
поінакшати,
переінакшитися,
переіначитися,
преобразитися,
перерости,
зміцнювати,
укріплювати,
укріпляти,
утверджувати,
посилювати,
скріплювати,
скріпляти,
употужнювати,
впотужнювати,
міцнити,
закріплювати,
закріпляти,"(роблячи тривалим, постійно діючим)"
підкріплювати,
підкріпляти,"(збільшуючи силу, міць і т. ін.)"
зміцнити,
укріпити,
утвердити,
посилити,
скріпити,
употужнити,
впотужнити,
закріпити,
підкріпити,
зміцнювати,
загартовувати,
кріпити,
підкріплювати,
підкріпляти,
поправляти,"(завдяки відпочинку, їжі і т. ін.)"
зміцнити,
загартувати,
підкріпити,
поправити,
змішувати,
перемішувати,
мішати,
змішати,
перемішати,
помішати,
змішувати,
перемішувати,
переплутувати,
плутати,
сплутувати,
змішати,
перемішати,
переплутати,
сплутати,
змія,
зміюка,
змій,
гадюка,(отруйна)
змова,
зговір,
змогти,
зуміти,
спромогтися,
примогти,
примогтися,
удати,
вдати,
умудритися,
вмудритися,
примудритися,
ухитритися,
вхитритися,
ухитруватися,"(застосовуючи спритність, хитрощі та ін.)"
вхитруватися,"(застосовуючи спритність, хитрощі та ін.)"
змагати,
спромагатися,
умудрятися,
вмудрятися,
примудрятися,
ухитрятися,
вхитрятися,
зморшка,
брижа,
морщина,
бганка,
зморщина,
складка,
борозна,
пруг,(глибока зморшка)
зморшкуватий,
зморщений,
поморщений,
морщавий,
морхлий,
побрижений,
побабчений,
бабкуватий,
зморшок,
зморшка,
сморчок,
чмур,
сморж,
сморжай,
сморжок,
сморч,
знавець,
дока,
дойда,
знайко,
всезнайко,
усезнайко,
багатознайко,
професор,
ерудит,"(той, хто має велику ерудицію)"
знадобитися,
згодитися,
пригодитися,
придатися,
підійти,
здатися,
знайомий,
знаний,
звісний,
знакомий,
знакомитий,
знайомити,
зазнайомлювати,
знакомити,
представляти,
рекомендувати,
відрекомендовувати,
репрезентувати,(перев. даючи характеристику)
познайомити,
зазнайомити,
познакомити,
представити,
рекомендувати,
відрекомендувати,
порекомендувати,
репрезентувати,
знайомитися,
спізнаватися,
пізнаватися,
спізнавати,
запізнаватися,
запізнавати,
зазнайомлюватися,
розпізнаватися,
знакомитися,
зізнаватися,
зазнаватися,
познайомитися,
спізнатися,
пізнатися,
спізнати,
запізнатися,
запізнати,
зазнайомитися,
розпізнатися,
познакомитися,
зізнатися,
зазнатися,
знайти,
найти,
віднайти,
розшукати,
відшукати,
вишукати,
добути,
відкопати,
розкопати,
викопати,
винишпорити,
вискіпати,(внаслідок тривалих і старанних пошуків)
натрапити,
надибати,
нагибати,(випадково)
підхопити,
підчепити,"(звичайно чоловік, хлопець жінку, дівчину для себе або жінка, дівчина чоловіка, хлопця)"
знаходити,
находити,
віднаходити,
розшукувати,
відшукувати,
вишукувати,
добувати,
відкопувати,
розкопувати,
викопувати,
натрапляти,
надибувати,
надибати,
підхоплювати,
підчіплювати,
знайтися,
найтися,
віднайтися,
розшукатися,
відшукатися,(внаслідок старанних і тривалих пошуків)
вишукатися,
вирискатися,
вискіпатися,(про кого-небудь)
знаходитися,
находитися,
віднаходитися,
розшукуватися,
відшукуватися,
вишукуватися,
знаменитість,
світило,"(перев. про діячів науки, медицини)"
зірка,
зоря,"(перев. про діячів мистецтва, спорту)"
знаменний,
визначний,
історичний,
знаряддя,
начиння,
снасть,
припас,
знаряд,
приряд,
знадіб,
знадоб,
інструмент,(набір предметів для певної роботи)
знати,"Мати якісь дані, відомості про кого-, що-небудь"
відати,"Знати, мати про що-небудь уявлення, відомості"
знатний,
аристократичний,
високий,
благородний,
родовитий,
іменитий,
титулований,
можновладний,
дворянський,
шляхетний,
шляхетський,"(який належить до дворянства, до шляхти)"
знать,
аристократія,(вища родова знать)
дворянство,"(панівний привілейований клас феодального, а пізніше і буржуазного суспільства)"
шляхта,
шляхетство,(у феодальній і буржуазній Польщі)
знахар,
знахор,
знахур,
шептун,
знахарка,
ворожка,
знахорка,
знахурка,
значення,
важливість,
вага,
роль,
важність,
значіння,
значення,
смисл,
зміст,
розуміння,
значитися,
числитися,
лічитися,
знебарвлювати,
обезбарвлювати,
знебарвити,
обезбарвити,
знеболювання,
обезболювання,
анестезія,
знеболювати,
обезболювати,
анестезувати,
знеболити,
обезболити,
анестезувати,
зневага,"Почуття презирства, відсутність поваги до кого-небудь"
неповага,"Зневажливе, нечемне ставлення до кого-, чого-небудь"
погорда,"Почуття зверхності, зневаги, презирства до кого-, чого-небудь"
зневажати,
гордувати,
погорджувати,
погорджати,
цуратися,
гребувати,
гребати,
поштурхувати,
плювати,
чхати,
гордити,
негувати,
поневажати,
зневажити,
згордувати,
погордити,
погордитися,
відцуратися,
погребувати,
погребати,
наплювати,
начхати,
згордити,
зневажливий,
неповажливий,
погордливий,
погордий,
недбалий,
презирливий,
згірдливий,
згірдний,
зневажний,
призрий,
зневіра,
зневір'я,
розчарування,
недовіра,
зневірятися,
розчаровуватися,
обезнадіюватися,
обманюватися,
спроневірятися,
зневіритися,
розчаруватися,
обезнадіятися,
обманутися,
обманитися,
спроневіритися,
знедолювати,
обездолювати,
обезталанювати,
знедолити,
обездолити,
обезталанити,
знежирювати,
обезжирювати,
знежирити,
обезжирити,
знезараження,
обеззараження,
обеззаражування,
дезінфекція,
стерилізація,
антисептика,(знезараження або запобігання зараженню за допомогою хімічних речовин)
асептика,(запобігання зараженню шляхом стерилізації)
знезаражувати,
обеззаражувати,
дезінфікувати,
стерилізувати,
антисептувати,
знезаразити,
обеззаразити,
продезінфікувати,
дезінфікувати,
простерилізувати,
антисептувати,
знекровлювати,
обезкровлювати,
знекровити,
обезкровити,
знемога,
млість,
знизу,
віднизу,
спіднизу,
спідсподу,
зісподу,
здолу,
зникати,"Переставати існувати, бути в наявності"
щезати,"Те саме, що [B]зника́ти[/B] 1"
пропадати,Безповоротно втрачатися
діватися,"Безслідно, несподівано і т. ін. зникати, переміщатися"
гинути,Переставати існувати
погибати,Переставати існувати
заподіватися,"Те саме, що [B]діва́тися[/B]"
чезнути,Щеза́ти
виводитися,"Зменшуватися в кількості, переставати існувати; зникати"
зводитися,"Вироджуватися, зникати (про рід, породу, професію і т. ін.)"
вивітрюватися,"Стиратися в пам'яті, забуватися"
випаровуватися,"Зникати, щезати"
розчинятися,"Ставати непомітним у чому-небудь, зникати"
розтавати,"Поступово зникати, ставати непомітним, нечутним"
танути,"Поступово зникати з поля зору, ставати непомітним, невиразним"
вигасати,"Ослаблятися, втрачати гостроту; зникати"
угасати,"Ставати слабішим, зникати"
вгасати,"Ставати слабішим, зникати"
угавати,"Переставати виявлятися; припинятися, зникати"
вгавати,"Переставати виявлятися; припинятися, зникати"
перегоряти,"Бурхливо виявившись, зникати, проходити (про почуття, переживання і т. ін.)"
перегорати,"(про почуття, мрії, сподівання, думки тощо - поступово, непомітно)"
відмирати,Втрачати здатність до існування
відживати,"Закінчувати своє життя, припиняти існування; відмирати"
відходити,"Зникати, втрачатися (про бажання, сон і т. ін.)"
відпадати,Зникати
тікати,
утікати,
втікати,
відлітати,
зслизати,(швидко)
губитися,
загублюватися,(поступово роблячись непомітним)
поринати,(ховаючись у масі чого-небудь)
зникнути,"Перестати існувати, бути в наявності"
зникти,"Перестати існувати, бути в наявності"
щезнути,"Те саме, що [B]зникнути[/B] 1"
пропасти,Безповоротно втратитися
дітися,"Безслідно, несподівано і т. ін. зникнути, переміститися"
подітися,"Те саме, що [B]ді́тися[/B]"
згинути,"Перестати існувати внаслідок реформи, знищення, руйнування і т. ін"
погинути,Перестати існувати
погибнути,Переставати існувати
заподітися,
збути,
вивестися,"Знищуватися, зникати безслідно"
звестися,
вивітритися,"Зникати, втрачаючи своє значення, гостроту"
вивітріти,"Те саме, що [B]ви́вітритися[/B]"
випаруватися,"Зникати, щезати"
розчинитися,
розтанути,"Поступово зникати, ставати непомітним, нечутним"
розтати,"Поступово зникати, ставати непомітним, нечутним"
вигаснути,"Ослаблятися, втрачати гостроту; зникати"
угаснути,"Припинятися, закінчуватися"
вгаснути,Припиняти своє існування
перегоріти,
відмерти,Втратити здатність до існування
віджити,"Закінчити своє життя, припинити існування; відмерти"
відійти,"Зникати, втрачатися (про бажання, сон і т. ін.)"
відпасти,
утекти,
втекти,
відлетіти,
відлинути,
зслизнути,
слизнути,
зслизти,
слизти,
згубитися,
загубитися,
поринути,
знов,
знову,"(про дію - ще раз, повторно)"
наново,
спочатку,
знов-таки,
знову-таки,
заново,
уп'ять,
зношуватися,
виношуватися,
проношуватися,
витиратися,
горіти,(швидко)
рватися,
дертися,
дратися,(з утворенням дірок)
зноситися,
виноситися,
виходитися,
проноситися,
витертися,
порватися,
подертися,
подратися,
знущання,
глум,
наруга,
поглум,
поглумка,
збиткування,
поквол,
поквіл,
знущатися,"Заподіювати муки, страждання кому-небудь"
мордувати,"Завдавати комусь фізичного болю або моральних страждань; мучити, катувати"
катувати,"Сильно бити, завдавати тяжких фізичних мук, страждань"
нівечити,"Катувати, мучити кого-небудь, знущатися, глумитися з кого-небудь, жорстоко й грубо поводитися з кимось"
мучити,"Завдавати мук, фізичних або моральних страждань"
збиткуватися,Знущатися
збиткувати,Знущатися з кого-небудь
поневіряти,Знущатися
згнущатися,"Те саме, що [B]знуща́тися[/B]"
зображати,
зображувати,
відображати,
відображувати,
відтворювати,
відбивати,
показувати,
представляти,
змальовувати,
малювати,
описувати,
виписувати,
живописати,
обписувати,
обрисовувати,
окреслювати,
виводити,
обмальовувати,(засобами слова)
зобразити,
відобразити,
відтворити,
відбити,
показати,
представити,
змалювати,
описати,
обписати,
обрисувати,
окреслити,
вивести,
обмалювати,
зовнішній,
зверхній,
зозуля,
зигзиця,
зозулиця,
золити,
відзолювати,
відзолити,
золототисячник,
центурія,
центурка,
цвинтарка,
середушник,
ясенець,
золотуха,
скрофульоз,
зонд,
щуп,
зоогеографія,
фауністика,
зопалу,
згарячу,
згаряча,
спрожогу,
спохвату,
зоря,
зірниця,
зоряниця,(ранкова зоря)
зоряний,
зорянистий,
яснозорий,
яснозоряний,
зірний,
зорешливий,
звіздяний,
зористий,
зірчастий,
зорний,
зосереджувати,
концентрувати,
спиняти,
фіксувати,
зосередити,
сконцентрувати,
спинити,
зрізувати,
зрізати,
обрізувати,
обрізати,
різати,
спилювати,
стинати,
обтинати,"(різко, повністю)"
зстригати,"(волосся, вовну і т. ін.)"
зрізати,
обрізати,
спилити,
стяти,
зітнути,
обтяти,
зстригти,
зрікатися,"Поривати родинні чи інші зв'язки з ким-небудь, оголосивши близького чужим"
відрікатися,"Поривати родинні чи інші зв'язки з ким-небудь, оголосивши близького чужим"
відмовлятися,"Покидати, залишати"
звергатися,Відрікатися
зректися,"Порвати родинні чи інші зв'язки з ким-небудь, оголосивши близького чужим"
відректися,"Порвати родинні чи інші зв'язки з ким-небудь, оголосивши близького чужим"
звергнутися,Відректися
звергтися,Відріектися
виректися,"Відмовитися, зректися"
зрозумілий,
доступний,
приступний,
дохідливий,
сприйнятливий,
прозорий,
ясний,
популярний,"(про книгу, лекцію, пояснення і т. ін. - нескладний змістом і формою викладу)"
зрозуміло,
доступно,
приступно,
дохідливо,
ясно,
ладом,
толком,
прозоро,(натякнути тощо)
популярно,"(писати, пояснювати і т. ін. у дохідливій формі)"
зрозуміти,
збагнути,
убагнути,
вбагнути,
утнути,
втнути,
утямити,
втямити,
зметикувати,
уторопати,
второпати,
розторопати,
розчовпати,
розчухати,
розшолопати,
розчолопати,
змикитити,
втелепати,
розчумати,
зміркувати,
вирозуміти,
уловити,
вловити,
ухопити,
вхопити,
схопити,"(швидко, легко)"
розібратися,
розгадати,
розкусити,
розкумекати,"(щось складне, неясне, заплутане)"
розуміти,
тямити,
уловлювати,
вловлювати,
схоплювати,
розбиратися,
розгадувати,
розкушувати,
зростання,
зріст,
збільшення,
зростатися,
приростати,
зростися,
прирости,
зрошення,
зрошування,
іригація,
зволоження,
зволожування,
дощування,
зрошувати,
зволожувати,
орошати,
обводнювати,
обводняти,(створюючи штучні водоймища)
дощувати,(поливати посіви за допомогою спеціальних машин)
зросити,
зволожити,
оросити,
обводнити,
зруб,
оструб,
ощеп,
зрубувати,"Рубаючи, відокремлювати що-небудь від основи"
стинати,"Те саме, що [B]зру́бувати[/B]"
рубати,"Підсікаючи, валити на землю, відокремлювати від основи, кореня"
зрубати,
стяти,
зітнути,
звалити,
зручний,
вигідний,
догідний,
похватний,"(перев. про предмети, які можна взяти в руки)"
практичний,(для повсякденного користування)
комфортабельний,
комфортний,"(про приміщення, меблі і т. ін. - дуже зручний)"
зрячий,
видючий,
видющий,
зсув,
оповз,
оповзень,
зубатий,
зубастий,
кланцатий,
зубчастий,
зубчатий,(який має зубці чи форму зубців)
зубцюватий,
зумовлювати,
обумовлювати,
визначати,
визначувати,
зумовити,
обумовити,
визначити,
зупинка,
перестанок,
секція,
зупиняти,
спиняти,
зостановлювати,
запиняти,
затримувати,
припиняти,
притримувати,
придержувати,(на деякий час)
стопорити,
застопорювати,"(машини, механізми)"
тамувати,
затамовувати,"(вільний рух, плин чогось)"
зупинити,
спинити,
зостановити,
запинити,
затримати,
припинити,
притримати,
придержати,
застопорити,
затамувати,
зупинятися,
спинятися,
ставати,
припиняти,
зостановлюватися,
затримуватися,
припинятися,
притримуватися,(на деякий час)
застопорювати,
застопорюватися,
стопоритися,"(про машини, механізми)"
гальмувати,Зупинятися або уповільнювати свій рух (про транспортні засоби)
зупинитися,
спинитися,
стати,
припинити,
опинитися,
зостановитися,
затриматися,
припинитися,
притриматися,
застопорити,
застопоритися,
загальмувати,
зустрінути,
зустріти,
зустрінутися,
зустрітися,
побачити,
побачитися,
стрінути,
стріти,
стрінутися,
стрітися,
пострічати,
повидатися,
забачитися,
зобачитися,
устрінути,
встрінути,
устріти,
встріти,
перестріти,
перестрінути,
спіткати,
спіткатися,
перестрітися,
перестрінутися,"(по дорозі, ідучи, їдучи і т. ін.)"
здибати,
надибати,
подибати,
подибатися,
спобігти,(перев. випадково або несподівано)
зустрічати,
зустрівати,
зустрічатися,
бачити,
бачитися,
стрічати,
стрівати,
стрічатися,
уздріватися,
вздріватися,
перестрівати,
перестрічати,
здибати,
здибувати,
надибувати,
надибати,
подибувати,
подибуватися,
спобігати,
зустріч,
стріча,
побачення,
рандеву,
спіткання,
зобачення,
сходини,
бачення,
сходження,(перев. за попередньою домовленістю)
зустрічний,
стрічний,
перестрічний,
супротивний,"(про вітер, течію тощо)"
зябра,
жабра,
хавки,
з'явитися,
появитися,
явитися,
пожалувати,
припожалувати,
нагрянути,
заявитися,(звичайно несподівано)
з'являтися,
появлятися,
являтися,
жалувати,
заявлятися,
з'явитися,Ставати наявним де-небудь
появитися,
взятися,"З'явитися, виникнути"
узятися,"З'явитися, виникнути"
завестися,"З'явитися,з робитися наявним де-небудь, у чомусь, бути в наявності"
об'явитися,"Те саме, що [B]з'явитися[/B] 3"
набратися,(у певній кількості)
з'являтися,
появлятися,
виникати,
братися,
заводитися,
об'являтися,
набиратися,
з'явитися,
появитися,
показатися,
виступити,
проступити,
виникнути,(звідкись)
виринути,
вирнути,
винирнути,(несподівано звідкись)
виплисти,(повільно звідкись)
випливти,(повільно звідкись)
вискочити,(несподівано на поверхні чогось)
висипати,
вироїтися,(у великій кількості)
з'являтися,"Показуватися де-небудь, ставати доступним зорові, видним; появлятися"
появлятися,"Показуватися де-небудь, ставати доступним зорові, видним; з'являтися"
показуватися,"Ставати видним, помітним, відкриватися погляду; виднітися"
виступати,"Ставати видним, з'являтися, показуватися"
проступати,"Ставати видимим крізь що-небудь (перев. злегка, частково)"
виявлятися,"Ставати видним, з'являтися; відкриватися погляду, виднітися"
виникати,
виринати,
випливати,"Виникати, з'являтися (в думках, в уяві)"
вискакувати,
висипати,
вироюватися,
з'ясовувати,
виясняти,
вияснювати,
проясняти,
прояснювати,
висвітлювати,
з'ясувати,
вияснити,
прояснити,
висвітлити,
зяяти,
зіяти,
глибочіти,
позівати,
позіхати,
іванець,
іван-губа,
іволга,
вивільга,
жовна,
іграшка,
цяцька,
забавка,
виграшка,
цяця,
ідеалізувати,"Уважати кого-, що-небудь кращим, ніж є в дійсності; приписувати комусь, чомусь ідеальні властивості тощо"
прикрашати,"Видавати дійсне за краще, ніж воно є насправді"
прикрашувати,"Видавати дійсне за краще, ніж воно є насправді"
опоетизувати,"Поетично зображувати, змальовувати кого-, що-небудь"
поетизувати," зображати кого-, що-небудь у прикрашеному, поетичному вигляді; поетично сприймати кого-, що-небудь"
романтизувати,"зображати кого-, що-небудь романтично, ідеалізовано"
ідеологічний,
ідейний,
ідіот,
кретин,
недоумок,
дебіл,
ідол,
кумир,
божок,
істукан,
ідол,
кумир,
ізолятор,
діелектрик,
непровідник,
ікона,
образ,
боги,
богомаз,(ремісничої роботи)
іконописець,
богомаз,
іконник,
ікра,
ілюзія,
омана,
фантазія,
ілюстрація,
малюнок,
рисунок,
іменини,
тезоіменитство,(перев. в осіб царської сім'ї)
іменинник,
народженик,
імпресаріо,
антрепренер,
імпровізація,
експромт,
фантазія,
імунітет,
несприйнятливість,
імунність,
ім'я,
імення,
ймення,
наймення,
найменування,
назвисько,
кличка,(у тварин)
інвентар,
реманент,(у сільському господарстві)
індик,
дундук,
гиндик,
трухан,
інжир,
смоковниця,
смоківниця,
смоква,
фіга,
іній,
паморозь,
приморозь,
наморозь,
поморозь,
заморозь,
намерз,(намерзла маса дрібних сніжинок)
іновірець,Чужовірець
нехристиянин,
невіра,
іногородній,
чужоміський,
іноді,
інколи,
часом,
часами,
зрідка,
коли-не-коли,
подекуди,
деколи,
подеколи,
вряди-годи,
уряди-годи,
колись-не-колись,
коли,
порою,
десь-колись,
переймом,
іноземець,
чужоземець,
чужинець,
чужак,
чужосторонець,
іноземний,
чужоземний,
чужий,
чужинський,
чужинницький,
чужинний,
чужоземський,
чужосторонній,
чужинецький,
інструкція,
пам'ятка,
регламент, Пам'ятка туриста
інсценувати,
інсценізувати,
розігрувати,
інсценувати,
інсценізувати,
розіграти,
інтерес,
зацікавлення,
зацікавленість,
цікавість,
заінтересованість,
інтермедія,
інтерлюдія,
інфінітив,
інший,
інакший,
інакий,
новий,
другий,
новітній,
іншомовний,
чужомовний,
іномовний,
іржавіння,
ржавіння,(поява іржі на якій-небудь поверхні)
корозія,
іржати,
ржати,(видавати специфічні звуки - про коня)
гиготати,
гиготіти,
іскра,
скалка,
існування,"Буття; наявність кого-, чого-небудь у дійсності"
буття,"Об'єктивна реальність, що існує незалежно від нашої свідомості; матерія, природа"
побутування,(перев. у побуті)
істеричка,
крикливиця,
істерія,
крикливиці,
крикливці,
істик,
чистик,
історія,
минуле,
істота,
подоба,
створіння,
творіння,(перев. про людину)
іти,"Ступаючи ногами, пересуватися, рухатися, змінюючи місце в просторі (про людину або тварин); протилежне [S]стояти[/S], [S]бігти[/S]"
йти,"(роблячи кроки, пересуватися в просторі)"
простувати,Пересуватися пішки у просторі
прямувати,"Пересуватися у просторі, крокуючи; іти, простувати"
ступати,"Переставляючи ноги, роблячи кроки, змінювати місце в просторі, рухатися, йти (про людину або тварину)"
мандрувати,"Іти, їхати"
топати,Іти
тупцювати,"Іти, ходити"
тупцяти,"Іти, ходити"
тупати,"Іти, ходити взагалі"
грясти,"Іти; наступати, наставати"
поступатися,"Іти, ступати"
крокувати,
марширувати,"(перев. широким, розміреним кроком)"
маршувати,"(перев. широким, розміреним кроком)"
виступати,"(поважно, з гідністю)"
пливти,
плисти,
плинути,(плавно або суцільною масою)
братися,(перев. через силу)
махати,
шурувати,"(перев. у наказ. способі - швидко, енергійно)"
чимчикувати,(часто ступаючи)
рубати,"(енергійно, ступаючи твердо, чітко)"
теліпатися,
телющитися,
таскатися,(далеко або неохоче)
перти,
пертися,
тарабанитися,(на велику відстань)
іти,
йти,"(робити хід якоюсь фігурою, картою під час гри в шахи, карти)"
ходити,
піти,
сходити,
іти,"Падати зверху, литися (про дощ, сніг тощо)"
йти,"Падати зверху, литися (про дощ, сніг тощо)"
падати,"Випадати (про сніг, дощ і т. ін.)"
випадати,"Падати на землю (про дощ, сніг і т. ін.) або осідати (про росу, іній тощо)"
порошити,
мотрошити,(перев. про сніг)
дощити,(про дощ - безперервно)
росити,
дрібнити,
дробити,(дрібними краплями)
валити,Рухатися густою масою
сипати,"Іти, падати (про рясний дрібний дощ, сніг і т. ін.)"
ліпити,"Падати, з силою ударяючи; засліплювати, засипати, заливати (про сніг, дощ і т. ін.)"
піти,
випасти,
